age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,surcharge_ressentie,surcharge_non_recompensee,ratio_revenu_poste,ratio_augmentation_promotion,revenu_satisfaction
51,1,4936,Marié(e),Commercial,Cadre Commercial,4,7,3,3,4,3,2,0,11,1,2,14,2,Infra & Cloud,Occasionnel,0,0,0,0.7127510529796367,11.0,0
36,1,2543,Marié(e),Consulting,Assistant de Direction,4,2,4,3,3,2,3,0,13,1,3,2,3,Infra & Cloud,Occasionnel,2,0,0,0.7846410049410164,4.333333333333333,0
34,0,5304,Célibataire,Commercial,Cadre Commercial,8,5,1,4,4,2,2,1,13,0,3,19,3,Marketing,Aucun,0,1,0,0.7658897052277134,13.0,0
55,1,16659,Célibataire,Consulting,Senior Manager,2,5,3,3,4,3,3,1,13,0,2,2,3,Infra & Cloud,Occasionnel,1,0,0,0.969522997684056,6.5,0
24,1,4260,Divorcé(e),Commercial,Cadre Commercial,1,5,4,3,3,4,4,1,12,1,2,10,4,Marketing,Occasionnel,0,0,0,0.6151376591761046,12.0,0
30,0,2476,Marié(e),Commercial,Représentant Commercial,1,1,3,3,2,1,3,0,18,1,3,2,1,Entrepreunariat,Occasionnel,0,0,0,0.9425199847735058,18.0,1
26,0,3102,Célibataire,Consulting,Assistant de Direction,0,6,3,3,1,3,3,0,22,0,2,3,1,Entrepreunariat,Frequent,0,0,0,0.9571200933256125,22.0,0
22,1,2244,Marié(e),Consulting,Assistant de Direction,1,2,1,3,2,4,3,0,13,1,1,11,3,Transformation Digitale,Occasionnel,1,0,0,0.6923847483632091,6.5,1
36,0,7596,Marié(e),Commercial,Cadre Commercial,1,10,2,2,3,2,3,0,13,2,2,2,2,Transformation Digitale,Occasionnel,9,0,0,1.0968510936858429,1.3,0
30,0,2285,Célibataire,Consulting,Assistant de Direction,9,1,3,3,4,3,3,1,23,0,4,4,3,Entrepreunariat,Frequent,0,0,0,0.7050352718404335,23.0,0
37,1,3034,Divorcé(e),Consulting,Consultant,1,18,4,3,1,3,2,0,12,1,2,14,3,Infra & Cloud,Occasionnel,12,0,0,0.9369489892522351,0.9230769230769231,0
40,1,5715,Divorcé(e),Commercial,Cadre Commercial,7,5,4,3,2,3,3,0,12,2,5,2,2,Marketing,Occasionnel,1,0,0,0.8252374934721686,6.0,0
42,1,2576,Divorcé(e),Consulting,Consultant,3,5,2,3,1,2,3,0,16,1,5,1,4,Infra & Cloud,Occasionnel,1,0,0,0.7955110732741456,8.0,1
37,0,4197,Célibataire,Consulting,Tech Lead,2,1,3,3,2,4,2,1,12,0,2,10,4,Infra & Cloud,Occasionnel,0,1,0,0.5752358356806624,12.0,0
43,0,14336,Divorcé(e),Consulting,Directeur Technique,1,25,1,2,2,3,3,0,11,1,3,12,3,Infra & Cloud,Occasionnel,3,0,0,0.8940693689564098,2.75,0
40,1,3448,Marié(e),Consulting,Consultant,6,1,2,2,3,2,3,0,22,1,3,2,3,Transformation Digitale,Occasionnel,0,0,0,1.0647989831712943,22.0,0
54,0,19406,Marié(e),Consulting,Directeur Technique,4,4,1,3,1,3,2,0,11,1,4,5,2,Transformation Digitale,Occasionnel,1,0,0,1.2102615913761223,5.5,0
34,1,6538,Marié(e),Commercial,Cadre Commercial,9,3,3,3,3,1,3,0,15,1,3,4,4,Marketing,Aucun,1,0,0,0.9440774684726225,7.5,0
31,1,4306,Marié(e),Consulting,Tech Lead,1,13,2,3,1,2,1,0,12,1,5,7,2,Transformation Digitale,Occasionnel,3,0,0,0.5901752462332457,3.0,0
43,0,2258,Marié(e),Consulting,Consultant,7,3,4,3,4,1,3,0,20,1,1,21,3,Transformation Digitale,Frequent,1,0,0,0.6973074547566074,10.0,0
43,1,4522,Divorcé(e),Consulting,Manager,4,5,3,3,3,4,3,1,14,0,3,8,4,Autre,Occasionnel,0,0,0,0.6005500816606667,14.0,0
25,1,4487,Célibataire,Commercial,Cadre Commercial,1,5,2,2,4,2,3,1,11,0,3,4,2,Infra & Cloud,Occasionnel,1,0,1,0.6479161212965214,5.5,0
37,1,4449,Marié(e),Consulting,Assistant de Direction,3,13,2,3,3,1,3,1,15,2,2,25,5,Transformation Digitale,Aucun,10,0,0,1.3727360719553998,1.3636363636363635,0
31,0,2218,Marié(e),Consulting,Consultant,1,4,4,2,1,3,3,0,12,1,3,1,2,Infra & Cloud,Occasionnel,3,0,0,0.6849547983393071,3.0,0
39,0,19197,Divorcé(e),Consulting,Senior Manager,1,21,2,3,3,3,3,1,14,1,3,1,1,Infra & Cloud,Frequent,1,0,0,1.1172299049487258,7.0,0
56,1,13212,Marié(e),Commercial,Cadre Commercial,9,7,3,4,1,4,2,0,11,3,0,6,3,Infra & Cloud,Frequent,7,0,0,1.9077931345151864,1.375,0
30,1,6577,Célibataire,Commercial,Cadre Commercial,0,5,2,3,3,2,3,0,11,0,6,12,3,Entrepreunariat,Occasionnel,4,0,0,0.9497090104228263,2.2,0
41,0,8392,Marié(e),Commercial,Cadre Commercial,1,10,2,4,1,3,3,0,16,1,2,1,3,Marketing,Occasionnel,0,0,0,1.2117923088746174,16.0,0
28,0,4558,Divorcé(e),Consulting,Consultant,1,10,3,3,1,4,3,0,12,1,2,17,2,Transformation Digitale,Occasionnel,1,0,0,1.4075851987513803,6.0,0
25,0,4031,Marié(e),Consulting,Consultant,5,2,1,3,1,3,3,0,13,1,5,3,3,Transformation Digitale,Occasionnel,0,0,0,1.2448389504534474,13.0,0
52,0,7969,Marié(e),Consulting,Tech Lead,2,5,4,2,3,3,3,1,14,0,4,3,3,Transformation Digitale,Occasionnel,0,0,0,1.0922216760874908,14.0,0
45,0,2654,Marié(e),Consulting,Assistant de Direction,3,2,1,3,4,4,2,0,21,2,3,10,2,Infra & Cloud,Occasionnel,0,0,0,0.8188899831354531,21.0,0
52,1,16555,Marié(e),Consulting,Senior Manager,2,5,4,3,4,4,1,0,13,0,2,4,2,Infra & Cloud,Occasionnel,1,0,0,0.9634703899789632,6.5,0
42,1,4556,Divorcé(e),Consulting,Assistant de Direction,2,5,1,3,3,2,3,0,11,1,3,29,2,Infra & Cloud,Frequent,0,0,0,1.4057508527374245,11.0,0
30,1,6091,Célibataire,Consulting,Tech Lead,2,5,3,1,4,3,3,0,20,0,2,2,3,Infra & Cloud,Occasionnel,0,0,0,0.8348252263833488,20.0,0
60,1,19566,Marié(e),Consulting,Senior Manager,5,29,1,3,1,4,1,0,11,0,5,7,3,Infra & Cloud,Occasionnel,11,0,0,1.1387050226716033,0.9166666666666666,0
46,1,4810,Divorcé(e),Consulting,Tech Lead,2,10,3,3,3,3,2,0,14,1,5,18,3,Transformation Digitale,Occasionnel,0,0,0,0.6592528876873924,14.0,0
42,1,4523,Marié(e),Consulting,Manager,0,6,4,2,4,4,4,0,11,3,4,28,4,Entrepreunariat,Frequent,0,0,0,0.6006828879591322,11.0,0
24,1,3202,Célibataire,Commercial,Représentant Commercial,1,5,1,3,2,2,3,1,16,0,4,1,1,Entrepreunariat,Occasionnel,1,0,0,1.2188808526836696,8.0,0
34,1,2351,Divorcé(e),Commercial,Représentant Commercial,0,2,4,1,3,4,2,0,16,1,3,6,2,Marketing,Frequent,1,0,0,0.8949371907118386,8.0,0
38,0,1702,Marié(e),Consulting,Consultant,1,1,4,3,4,3,3,1,23,1,3,2,2,Infra & Cloud,Frequent,0,0,0,0.5256055305561319,23.0,0
40,1,18041,Marié(e),Commercial,Senior Manager,0,20,3,3,3,4,3,0,14,0,2,2,4,Infra & Cloud,Occasionnel,1,0,0,1.0499528423805784,7.0,0
26,1,2886,Divorcé(e),Consulting,Assistant de Direction,1,3,1,3,4,2,1,0,22,2,3,23,3,Infra & Cloud,Occasionnel,0,0,0,0.8904734330553572,22.0,1
30,0,2097,Marié(e),Consulting,Consultant,4,5,3,3,4,3,1,0,15,1,3,3,3,Infra & Cloud,Aucun,1,0,0,0.6475880126769733,7.5,0
29,0,11935,Marié(e),Consulting,Directeur Technique,1,10,2,2,3,3,3,0,18,0,2,3,4,Transformation Digitale,Occasionnel,0,0,0,0.7443302119485736,18.0,0
29,1,2546,Marié(e),Consulting,Assistant de Direction,5,2,3,2,2,2,4,0,16,0,2,25,5,Entrepreunariat,Occasionnel,1,0,0,0.7855666530003255,8.0,0
19,0,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,1,1,2,4,3,4,0,12,0,3,2,2,Entrepreunariat,Occasionnel,0,0,0,0.605180857968962,12.0,0
30,1,8412,Marié(e),Commercial,Cadre Commercial,0,9,3,3,1,3,3,0,11,0,3,22,4,Autre,Aucun,7,0,0,1.2146802791054911,1.375,0
57,0,14118,Divorcé(e),Commercial,Senior Manager,3,1,1,2,4,3,2,0,12,1,3,29,3,Marketing,Occasionnel,0,0,0,0.8216414959663547,12.0,0
50,0,17046,Marié(e),Consulting,Senior Manager,0,27,2,2,3,2,3,0,15,1,2,29,4,Infra & Cloud,Occasionnel,15,0,0,0.9920456821251227,0.9375,0
30,1,2564,Célibataire,Consulting,Consultant,0,11,3,3,4,3,2,0,14,0,2,2,3,Transformation Digitale,Aucun,6,0,0,0.7918052763489555,2.0,0
60,1,10266,Marié(e),Commercial,Cadre Commercial,4,18,3,2,1,4,4,0,19,0,5,28,3,Marketing,Frequent,13,0,0,1.4823951195074858,1.3571428571428572,0
47,1,5070,Divorcé(e),Consulting,Tech Lead,5,5,1,3,4,3,3,0,13,3,2,2,2,Transformation Digitale,Occasionnel,0,0,0,0.694888178913738,13.0,0
46,0,17861,Marié(e),Consulting,Directeur Technique,6,3,1,3,3,3,1,0,13,0,2,2,3,Infra & Cloud,Occasionnel,0,0,0,1.1139071567334289,13.0,0
35,0,4230,Célibataire,Consulting,Consultant,0,5,4,1,3,3,3,0,15,0,2,22,3,Infra & Cloud,Occasionnel,4,0,0,1.306293416129517,3.0,0
54,1,3780,Célibataire,Consulting,Consultant,7,1,3,3,3,3,3,0,11,0,3,8,4,Infra & Cloud,Occasionnel,0,0,0,1.1673260314348874,11.0,0
34,0,2768,Divorcé(e),Consulting,Assistant de Direction,3,7,4,2,3,3,3,0,12,1,3,2,4,Infra & Cloud,Occasionnel,5,0,0,0.8540646093891991,2.0,0
46,1,9071,Marié(e),Commercial,Cadre Commercial,2,3,3,2,4,3,3,1,19,1,3,10,3,Marketing,Occasionnel,1,0,0,1.3098388982127804,9.5,0
31,0,10648,Divorcé(e),Consulting,Tech Lead,1,13,3,3,2,4,4,0,25,1,6,9,1,Infra & Cloud,Occasionnel,0,0,0,1.459402234531259,25.0,0
33,0,13610,Marié(e),Consulting,Senior Manager,7,7,2,3,3,4,4,1,12,0,2,15,1,Transformation Digitale,Occasionnel,7,0,0,0.7920768352530165,1.5,0
33,0,3408,Divorcé(e),Consulting,Consultant,7,4,1,1,4,1,3,0,13,3,2,10,1,Transformation Digitale,Occasionnel,1,0,0,1.0524463267539939,6.5,0
30,0,2983,Célibataire,Commercial,Représentant Commercial,0,3,4,3,2,1,3,0,14,0,3,7,1,Marketing,Occasionnel,1,0,0,1.1355157974876284,7.0,0
35,0,7632,Marié(e),Consulting,Manager,4,8,4,3,3,3,3,1,12,0,2,16,3,Infra & Cloud,Occasionnel,0,0,0,1.0135776698881487,12.0,0
31,0,9824,Marié(e),Consulting,Manager,3,1,1,3,3,1,3,0,12,0,2,20,3,Infra & Cloud,Frequent,0,0,0,1.3046890761243675,12.0,0
34,1,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,3,2,3,1,3,3,1,15,3,2,23,3,Ressources Humaines,Frequent,0,0,0,2.3484982592789283,15.0,0
42,0,2093,Marié(e),Consulting,Consultant,4,2,2,3,3,4,3,0,17,1,4,5,2,Autre,Frequent,2,0,0,0.6463527470352433,5.666666666666667,0
36,0,9980,Célibataire,Commercial,Cadre Commercial,1,10,2,3,4,4,2,0,14,0,3,10,4,Transformation Digitale,Aucun,9,0,0,1.4410971452059915,1.4,0
22,0,3894,Célibataire,Consulting,Consultant,5,2,3,2,3,3,3,0,16,0,3,4,1,Entrepreunariat,Frequent,1,0,0,1.2025311022241936,8.0,0
48,1,4051,Marié(e),Commercial,Cadre Commercial,2,9,2,3,4,1,3,0,14,1,2,2,5,Marketing,Occasionnel,6,0,0,0.5849583702634741,2.0,0
55,1,16835,Célibataire,Commercial,Senior Manager,3,10,1,3,2,4,3,0,23,0,2,18,5,Infra & Cloud,Occasionnel,7,0,0,0.9797658722619055,2.875,0
41,0,6230,Célibataire,Commercial,Cadre Commercial,7,14,4,3,4,4,3,0,14,0,3,10,2,Infra & Cloud,Aucun,1,0,0,0.899602726917167,7.0,0
35,0,4717,Marié(e),Commercial,Cadre Commercial,9,11,2,3,3,3,3,0,11,0,2,1,3,Marketing,Occasionnel,6,0,0,0.6811277789515694,1.5714285714285714,0
40,1,13237,Célibataire,Consulting,Tech Lead,7,20,2,3,3,3,3,0,15,0,3,6,3,Infra & Cloud,Occasionnel,5,0,0,1.814247499858215,2.5,0
39,1,3755,Marié(e),Consulting,Consultant,1,8,3,3,3,1,3,0,11,1,3,8,1,Infra & Cloud,Frequent,0,0,0,1.1596056211740748,11.0,0
31,0,6582,Célibataire,Commercial,Cadre Commercial,4,6,2,3,4,3,4,1,13,0,2,2,1,Infra & Cloud,Occasionnel,0,0,0,0.9504310029805447,13.0,0
42,0,7406,Marié(e),Consulting,Tech Lead,1,10,4,3,1,4,2,1,21,1,5,24,3,Transformation Digitale,Occasionnel,5,1,0,1.015057564701212,3.5,0
45,0,4805,Marié(e),Commercial,Cadre Commercial,0,8,4,3,2,2,4,0,19,1,3,2,3,Autre,Occasionnel,3,0,0,0.6938348479674138,4.75,0
26,1,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,7,2,3,3,2,2,1,11,1,2,17,4,Infra & Cloud,Frequent,1,1,1,0.6469581636867883,5.5,1
29,0,4262,Divorcé(e),Consulting,Tech Lead,4,3,4,3,4,2,4,0,12,2,2,19,3,Entrepreunariat,Occasionnel,1,0,0,0.5841446584872488,6.0,0
33,1,16184,Divorcé(e),Consulting,Directeur Technique,4,6,1,4,3,3,3,0,19,1,2,1,5,Transformation Digitale,Occasionnel,0,0,0,1.009320498548447,19.0,0
31,0,11557,Divorcé(e),Commercial,Senior Manager,9,5,3,2,4,3,2,0,21,1,3,7,3,Infra & Cloud,Occasionnel,0,0,0,0.6725960312284431,21.0,0
18,0,1878,Célibataire,Commercial,Représentant Commercial,1,0,2,3,2,4,3,1,14,0,3,5,3,Marketing,Frequent,0,0,0,0.7148838979824895,14.0,0
40,0,10932,Divorcé(e),Commercial,Cadre Commercial,3,1,3,1,1,3,3,0,15,1,2,28,3,Autre,Aucun,0,0,0,1.5785645281955811,15.0,0
41,1,6811,Célibataire,Consulting,Manager,2,8,1,2,3,1,3,1,17,0,3,2,4,Autre,Aucun,0,0,0,0.9045436988480321,17.0,0
26,0,4306,Divorcé(e),Commercial,Cadre Commercial,5,0,1,3,3,1,3,0,12,2,5,29,2,Transformation Digitale,Occasionnel,0,0,0,0.6217799907071142,12.0,0
35,1,4859,Célibataire,Commercial,Cadre Commercial,1,5,1,3,3,4,3,0,16,0,3,1,3,Transformation Digitale,Occasionnel,0,0,0,0.7016323675907729,16.0,0
34,0,5337,Célibataire,Commercial,Cadre Commercial,1,10,4,4,4,4,3,0,12,0,3,21,4,Infra & Cloud,Occasionnel,5,0,0,0.770654856108655,2.0,0
26,0,2340,Célibataire,Consulting,Consultant,1,1,3,1,4,2,1,1,18,0,3,24,3,Entrepreunariat,Occasionnel,0,1,0,0.7226304004120733,18.0,1
37,1,7491,Célibataire,Consulting,Tech Lead,4,6,2,3,4,4,4,0,17,0,3,1,3,Entrepreunariat,Occasionnel,1,0,0,1.0267075637559786,8.5,0
46,1,10527,Marié(e),Consulting,Manager,5,2,1,3,3,4,2,0,11,0,3,18,1,Transformation Digitale,Frequent,1,0,0,1.3980519039455637,5.5,0
41,1,16595,Marié(e),Commercial,Senior Manager,7,18,2,3,1,2,3,0,16,1,2,2,5,Infra & Cloud,Occasionnel,11,0,0,0.9657983160193835,1.3333333333333333,0
37,0,8834,Divorcé(e),Commercial,Cadre Commercial,1,9,1,3,2,4,3,0,13,1,6,9,4,Transformation Digitale,Aucun,7,0,0,1.2756164509769268,1.625,0
52,0,5577,Divorcé(e),Consulting,Assistant de Direction,3,10,4,3,1,2,3,1,12,2,3,6,2,Entrepreunariat,Occasionnel,6,0,0,1.7207797422556226,1.7142857142857142,0
32,0,4707,Marié(e),Commercial,Cadre Commercial,8,4,4,4,3,4,3,0,12,0,2,11,4,Autre,Aucun,1,0,0,0.6796837938361325,6.0,0
24,0,2400,Marié(e),Commercial,Représentant Commercial,0,2,4,3,4,3,3,0,13,2,3,24,3,Transformation Digitale,Frequent,2,0,0,0.9135896459840122,4.333333333333333,0
38,1,9824,Marié(e),Consulting,Manager,3,1,3,3,3,3,3,0,19,1,4,10,3,Transformation Digitale,Occasionnel,0,0,0,1.3046890761243675,19.0,0
37,1,6447,Marié(e),Consulting,Tech Lead,6,6,2,3,2,2,2,0,12,1,2,1,4,Infra & Cloud,Occasionnel,4,0,0,0.8836181636009603,2.4,0
49,0,19502,Divorcé(e),Consulting,Directeur Technique,1,31,4,2,3,3,3,1,17,1,5,18,4,Infra & Cloud,Occasionnel,0,0,0,1.216248663043241,17.0,0
24,0,2725,Marié(e),Consulting,Assistant de Direction,1,6,2,4,4,2,3,1,11,2,3,23,3,Transformation Digitale,Occasionnel,1,0,1,0.8407969872057686,5.5,0
26,0,6272,Marié(e),Commercial,Cadre Commercial,1,5,1,3,2,4,4,0,20,2,5,28,2,Marketing,Occasionnel,1,0,0,0.905667464402002,10.0,0
24,0,2127,Marié(e),Consulting,Consultant,1,1,4,2,2,4,3,0,21,1,2,17,2,Autre,Occasionnel,0,0,0,0.6568525049899486,21.0,0
50,0,18200,Marié(e),Ressources Humaines,Senior Manager,1,32,1,3,2,3,3,0,11,1,2,3,3,Transformation Digitale,Frequent,10,0,0,1.059206348391249,1.0,0
25,0,2096,Marié(e),Commercial,Représentant Commercial,1,7,2,3,3,3,3,0,11,0,1,13,1,Transformation Digitale,Occasionnel,0,0,0,0.7978682908260373,11.0,0
24,1,2886,Marié(e),Consulting,Consultant,1,6,1,3,3,4,3,1,16,1,4,7,3,Infra & Cloud,Frequent,1,0,0,0.8912441605082236,8.0,0
30,0,2033,Marié(e),Commercial,Représentant Commercial,1,1,2,2,1,3,4,0,18,1,2,12,4,Infra & Cloud,Frequent,0,0,0,0.7738865626189569,18.0,1
34,0,3622,Marié(e),Consulting,Assistant de Direction,1,6,2,2,4,4,3,1,13,1,3,1,2,Infra & Cloud,Occasionnel,1,0,0,1.1175657569391904,6.5,0
31,0,4233,Divorcé(e),Commercial,Cadre Commercial,2,3,2,3,1,3,1,0,17,0,2,13,4,Transformation Digitale,Occasionnel,1,0,0,0.6112388993644251,8.5,0
35,0,3681,Célibataire,Consulting,Consultant,4,3,1,2,4,4,3,0,14,0,3,25,2,Autre,Occasionnel,0,0,0,1.136753206802069,14.0,0
31,0,5460,Divorcé(e),Commercial,Cadre Commercial,4,7,1,4,4,4,4,0,22,2,4,6,4,Transformation Digitale,Occasionnel,5,0,0,0.7884158730285284,3.6666666666666665,0
27,1,2187,Divorcé(e),Consulting,Assistant de Direction,0,5,1,2,3,3,2,0,12,2,5,6,4,Transformation Digitale,Occasionnel,0,0,0,0.6747974352363362,12.0,1
37,0,9602,Marié(e),Commercial,Cadre Commercial,4,3,4,3,3,3,2,1,11,1,3,2,3,Marketing,Occasionnel,1,1,1,1.386514507842478,5.5,0
20,1,2836,Célibataire,Consulting,Assistant de Direction,1,1,4,2,2,4,4,0,13,0,0,1,3,Infra & Cloud,Occasionnel,0,0,0,0.8750459654002054,13.0,0
42,1,4089,Marié(e),Consulting,Manager,1,10,3,3,4,2,3,0,13,2,4,2,4,Infra & Cloud,Occasionnel,2,0,0,0.5430449544251363,4.333333333333333,0
43,0,16627,Divorcé(e),Consulting,Directeur Technique,4,1,2,2,4,3,2,1,14,1,3,6,4,Autre,Occasionnel,0,1,0,1.0369483396790058,14.0,0
38,1,2619,Célibataire,Consulting,Assistant de Direction,3,0,3,3,1,4,2,0,17,0,3,1,1,Infra & Cloud,Occasionnel,0,0,0,0.808090755776847,17.0,1
43,0,5679,Divorcé(e),Consulting,Consultant,3,8,4,3,3,2,3,1,13,1,3,9,5,Transformation Digitale,Frequent,4,0,0,1.753768394846224,2.6,0
48,1,15402,Marié(e),Consulting,Senior Manager,7,3,4,2,1,1,1,0,11,1,3,1,4,Infra & Cloud,Occasionnel,0,0,0,0.8963679218638472,11.0,0
44,1,5985,Célibataire,Ressources Humaines,Ressources Humaines,4,2,1,2,3,2,4,0,11,0,1,1,4,Infra & Cloud,Occasionnel,0,0,0,1.412639405204461,11.0,0
34,1,2579,Divorcé(e),Commercial,Représentant Commercial,1,8,3,3,3,4,3,1,18,2,3,14,3,Entrepreunariat,Occasionnel,0,0,0,0.9817282070803197,18.0,0
27,0,3041,Divorcé(e),Commercial,Représentant Commercial,0,4,3,3,1,2,3,0,11,1,3,2,1,Marketing,Occasionnel,0,0,0,1.1575942139322422,11.0,0
21,0,3447,Célibataire,Commercial,Représentant Commercial,1,3,3,3,3,3,3,0,11,0,2,22,1,Entrepreunariat,Occasionnel,1,0,0,1.3121431290445376,5.5,0
44,0,19513,Marié(e),Consulting,Senior Manager,4,2,4,3,4,1,4,1,12,1,2,3,4,Autre,Occasionnel,0,0,0,1.1356205206680463,12.0,0
22,0,2773,Marié(e),Consulting,Assistant de Direction,0,2,1,3,3,4,3,0,20,0,3,6,1,Transformation Digitale,Occasionnel,2,0,0,0.8556073561547143,6.666666666666667,0
33,0,7104,Divorcé(e),Commercial,Cadre Commercial,0,5,3,3,3,4,3,0,12,0,3,8,4,Marketing,Occasionnel,1,0,0,1.0258070260063492,6.0,0
32,1,6322,Marié(e),Consulting,Assistant de Direction,1,6,1,3,4,4,2,1,12,1,2,9,4,Infra & Cloud,Occasionnel,0,1,0,1.9506490103173832,12.0,0
30,1,2083,Divorcé(e),Consulting,Assistant de Direction,1,1,3,3,3,3,3,0,20,1,2,3,3,Transformation Digitale,Frequent,0,0,0,0.6427083025136205,20.0,0
53,1,8381,Célibataire,Commercial,Cadre Commercial,7,14,4,3,1,4,4,0,20,0,2,1,1,Transformation Digitale,Occasionnel,8,0,0,1.2102039252476369,2.2222222222222223,0
34,0,2691,Marié(e),Consulting,Assistant de Direction,1,10,2,3,4,4,2,0,12,1,4,1,5,Infra & Cloud,Occasionnel,8,0,0,0.8303063092002655,1.3333333333333333,0
45,1,4286,Marié(e),Commercial,Cadre Commercial,2,1,1,3,1,4,3,0,14,2,4,26,4,Infra & Cloud,Frequent,0,0,0,0.6188920204762405,14.0,0
26,1,2659,Marié(e),Consulting,Consultant,1,3,3,3,4,3,3,1,13,1,2,6,3,Infra & Cloud,Occasionnel,0,0,0,0.8211428353400438,13.0,0
37,0,9434,Marié(e),Consulting,Tech Lead,1,10,3,3,3,3,3,0,15,1,2,3,3,Autre,Occasionnel,7,0,0,1.293012836266707,1.875,0
29,1,5561,Marié(e),Commercial,Cadre Commercial,1,6,2,3,3,1,2,0,14,1,5,3,2,Transformation Digitale,Occasionnel,1,0,0,0.8030001226944408,7.0,0
35,0,6646,Célibataire,Consulting,Assistant de Direction,1,17,2,1,4,2,3,0,13,0,3,6,4,Infra & Cloud,Occasionnel,11,0,0,2.0506190007227665,1.0833333333333333,0
33,0,7725,Divorcé(e),Consulting,Manager,3,13,3,3,4,3,1,0,23,1,2,6,3,Infra & Cloud,Frequent,4,0,0,1.0259286556454335,4.6,0
54,0,10725,Marié(e),Ressources Humaines,Ressources Humaines,2,9,3,3,2,3,4,0,15,1,1,19,4,Transformation Digitale,Occasionnel,7,0,0,2.531421490529297,1.875,0
36,0,8847,Divorcé(e),Consulting,Tech Lead,2,3,2,2,2,3,3,1,11,1,2,9,2,Transformation Digitale,Occasionnel,0,0,1,1.2125593133826116,11.0,0
27,0,2045,Célibataire,Consulting,Assistant de Direction,0,4,1,2,4,4,3,0,13,0,0,3,4,Transformation Digitale,Occasionnel,1,0,0,0.6309834270957052,6.5,0
20,0,1009,Célibataire,Consulting,Assistant de Direction,1,1,4,3,3,4,3,1,11,0,5,10,1,Transformation Digitale,Occasionnel,1,0,1,0.3113262972809617,5.5,0
33,0,3348,Célibataire,Consulting,Assistant de Direction,1,10,1,3,1,1,3,1,11,0,3,3,3,Infra & Cloud,Frequent,9,0,1,1.033023234188959,1.1,0
35,0,1281,Marié(e),Consulting,Consultant,1,1,3,2,3,3,3,0,18,2,3,3,3,Infra & Cloud,Aucun,0,0,0,0.39559382176404523,18.0,0
23,0,2819,Marié(e),Consulting,Assistant de Direction,2,3,1,4,1,1,4,0,16,1,3,4,3,Transformation Digitale,Occasionnel,0,0,0,0.8698006263974538,16.0,1
25,0,4851,Marié(e),Commercial,Cadre Commercial,0,3,4,4,2,3,3,0,22,1,4,8,3,Infra & Cloud,Occasionnel,1,0,0,0.7004771794984234,11.0,0
38,1,4028,Célibataire,Commercial,Cadre Commercial,0,7,4,2,4,1,3,0,20,0,2,7,4,Marketing,Occasionnel,0,0,0,0.5816372044979693,20.0,0
29,0,2720,Divorcé(e),Consulting,Assistant de Direction,1,10,2,1,4,4,3,0,18,1,5,1,4,Infra & Cloud,Frequent,2,0,0,0.8392542404402534,6.0,0
48,0,8120,Marié(e),Commercial,Cadre Commercial,3,2,2,4,2,4,3,0,12,0,3,2,1,Marketing,Occasionnel,2,0,0,1.1725159137347345,4.0,0
27,1,4647,Divorcé(e),Commercial,Cadre Commercial,1,6,4,4,4,2,3,1,20,2,3,3,1,Transformation Digitale,Frequent,0,0,0,0.6710198831435114,20.0,0
37,0,4680,Célibataire,Consulting,Assistant de Direction,3,1,4,4,4,1,3,0,17,0,2,10,2,Infra & Cloud,Occasionnel,0,0,0,1.4440109725222008,17.0,0
50,0,3221,Marié(e),Consulting,Consultant,1,20,4,4,3,3,3,1,11,3,3,28,1,Transformation Digitale,Occasionnel,3,0,1,0.9946976580031145,2.75,0
34,1,8621,Célibataire,Consulting,Manager,1,8,4,2,2,2,4,0,14,0,3,9,3,Transformation Digitale,Occasionnel,7,0,0,1.1449230990704573,1.75,0
24,1,4577,Célibataire,Commercial,Cadre Commercial,9,2,1,3,3,1,3,0,14,0,3,3,2,Infra & Cloud,Occasionnel,2,0,0,0.6609119873354532,4.666666666666667,0
39,1,4553,Célibataire,Consulting,Manager,1,20,4,2,3,1,3,0,11,0,4,2,4,Entrepreunariat,Occasionnel,11,0,0,0.6046670769130951,0.9166666666666666,0
32,0,5396,Célibataire,Commercial,Cadre Commercial,1,10,4,3,4,4,2,0,12,0,2,10,3,Marketing,Occasionnel,0,0,0,0.7791743682897325,12.0,0
50,0,6796,Marié(e),Commercial,Cadre Commercial,3,4,2,3,3,1,3,1,14,1,4,8,2,Entrepreunariat,Frequent,1,0,0,0.9813322844508937,7.0,0
38,1,7625,Célibataire,Consulting,Manager,0,9,2,4,4,3,2,0,13,0,4,1,4,Infra & Cloud,Occasionnel,1,0,0,1.0126480257988908,6.5,0
27,1,7412,Marié(e),Consulting,Tech Lead,1,9,3,3,1,4,3,0,11,0,3,1,2,Infra & Cloud,Occasionnel,0,0,0,1.0158799175756659,11.0,0
